DAR.in.Rat	Gene	DAR_logFC	DAR_FDR	type	Region	Group	Exp_logFC	Exp_FDR
"chr6,42139812,42140425"	Rock2	-0.799903578	6.05E-08	CA_Meth	CA	Meth	0.154114138	0.07368666
"chr7,108025347,108026760"	St3gal1	-0.737138768	1.22E-08	CA_Meth	CA	Meth	-0.557517669	2.38E-07
"chr7,108025347,108026760"	Zfat	-0.737138768	1.22E-08	CA_Meth	CA	Meth	-0.255522346	0.197910872
"chr1,185812721,185813668"	C11orf58	-0.785198667	1.91E-14	DG_Meth	DG	Meth	0	1
"chr1,185812721,185813668"	Mir6073	-0.785198667	1.91E-14	DG_Meth	DG	Meth	0	1
"chr1,185861905,185863066"	C11orf58	-0.624116921	4.95E-07	DG_Meth	DG	Meth	0	1
"chr1,185861905,185863066"	Mir6073	-0.624116921	4.95E-07	DG_Meth	DG	Meth	0	1
"chr1,202921754,202922505"	Gm4265	-0.709514434	1.43E-11	DG_Meth	DG	Meth	0	1
"chr1,202921754,202922505"	Wdr11	-0.709514434	1.43E-11	DG_Meth	DG	Meth	0.043424085	0.814941457
"chr1,218372189,218373163"	Ccnd1	-0.684541808	7.60E-27	DG_Meth	DG	Meth	-0.148483121	0.371170379
"chr1,218372189,218373163"	Tpcn2	-0.684541808	7.60E-27	DG_Meth	DG	Meth	-0.27271034	0.273663734
"chr1,259379760,259380780"	Sorbs1	-0.942839191	8.06E-18	DG_Meth	DG	Meth	0.084560816	0.612121036
"chr1,280298192,280298591"	Shtn1	-1.196508062	1.71E-08	DG_Meth	DG	Meth	0.192106862	0.279989504
"chr1,280298192,280298591"	Vax1	-1.196508062	1.71E-08	DG_Meth	DG	Meth	0	1
"chr1,32602649,32603764"	Irx4	-0.619295262	1.93E-05	DG_Meth	DG	Meth	0	1
"chr1,32602649,32603764"	Ndufs6	-0.619295262	1.93E-05	DG_Meth	DG	Meth	0.177801574	0.659787805
"chr1,48735723,48736535"	Agpat4	-0.611642286	2.98E-08	DG_Meth	DG	Meth	-0.514704667	0.000260789
"chr1,94007055,94007776"	Uri1	-0.69796648	1.07E-08	DG_Meth	DG	Meth	-0.011250432	0.9729471
"chr1,94007055,94007776"	Znf536	-0.69796648	1.07E-08	DG_Meth	DG	Meth	0	1
"chr10,101693159,101693787"	2610035D17Rik	-0.779239127	7.07E-14	DG_Meth	DG	Meth	0	1
"chr10,49391068,49391401"	Cdrt4	-0.662134475	0.000203812	DG_Meth	DG	Meth	0	1
"chr10,73305936,73306534"	Tbx2	-1.155860595	3.17E-08	DG_Meth	DG	Meth	0	1
"chr10,73305936,73306534"	Tbx4	-1.155860595	3.17E-08	DG_Meth	DG	Meth	0	1
"chr11,16087764,16088313"	Mir125b2	-0.762673358	9.08E-07	DG_Meth	DG	Meth	0	1
"chr11,16087764,16088313"	Mirlet7c	-0.762673358	9.08E-07	DG_Meth	DG	Meth	0	1
"chr12,15955629,15956899"	Gna12	-0.693429129	5.98E-18	DG_Meth	DG	Meth	-0.163852095	0.336425508
"chr13,50371581,50373149"	Snrpe	-0.669359022	3.35E-20	DG_Meth	DG	Meth	0.075785339	0.776254138
"chr13,50371581,50373149"	Sox13	-0.669359022	3.35E-20	DG_Meth	DG	Meth	0.085073771	0.758142582
"chr15,1225708,1226725"	C10orf11	-0.619292245	7.73E-05	DG_Meth	DG	Meth	0	1
"chr15,1225708,1226725"	Kcnma1	-0.619292245	7.73E-05	DG_Meth	DG	Meth	-0.066216021	0.695461189
"chr17,27313744,27314614"	Dsp	-1.010302367	5.84E-11	DG_Meth	DG	Meth	-1.399466017	0.001608697
"chr19,17042749,17043648"	Fto	-0.59582111	1.21E-07	DG_Meth	DG	Meth	0.013086879	0.956169355
"chr19,19236844,19238240"	Cyld	-0.857502374	8.47E-22	DG_Meth	DG	Meth	0.032337392	0.869155567
"chr19,19236844,19238240"	LOC101927334	-0.857502374	8.47E-22	DG_Meth	DG	Meth	0	1
"chr19,31526537,31526879"	Hhip	-0.595203602	0.000971622	DG_Meth	DG	Meth	0.099211813	0.714395499
"chr19,38350476,38351361"	Wwp2	-0.728535871	2.33E-13	DG_Meth	DG	Meth	0.315160663	0.021446908
"chr2,5872661,5873398"	Arrdc3	-0.6732813	7.23E-06	DG_Meth	DG	Meth	0.110595151	0.570790111
"chr2,5872661,5873398"	As1	-0.6732813	7.23E-06	DG_Meth	DG	Meth	0	1
"chr2,5872661,5873398"	Nr2f1	-0.6732813	7.23E-06	DG_Meth	DG	Meth	-0.284301406	0.096076076
"chr2,95114877,95115749"	Mrps28	-0.615669091	1.45E-20	DG_Meth	DG	Meth	-0.013052728	0.981156712
"chr3,113746640,113747105"	Casc4	-1.044392783	2.59E-07	DG_Meth	DG	Meth	-0.329834079	0.001286396
"chr3,113746640,113747105"	Pin4p1	-1.044392783	2.59E-07	DG_Meth	DG	Meth	0	1
"chr3,12846107,12846511"	Lmx1b	-0.905367962	7.98E-05	DG_Meth	DG	Meth	0	1
"chr3,12846107,12846511"	Nron	-0.905367962	7.98E-05	DG_Meth	DG	Meth	0	1
"chr3,12900025,12900794"	A630071L07Rik	-0.783987188	2.68E-21	DG_Meth	DG	Meth	0	1
"chr3,12900025,12900794"	Pbx3	-0.783987188	2.68E-21	DG_Meth	DG	Meth	1.295478304	1.61E-06
"chr3,140527591,140528082"	Ralgapa2	-0.660907993	9.96E-07	DG_Meth	DG	Meth	-0.250824939	0.156346546
"chr3,141405485,141406404"	2	-0.688827475	6.74E-25	DG_Meth	DG	Meth	0	1
"chr3,141405485,141406404"	4	-0.688827475	6.74E-25	DG_Meth	DG	Meth	0	1
"chr3,141405485,141406404"	Nkx2	-0.688827475	6.74E-25	DG_Meth	DG	Meth	0.21748865	0.461979511
"chr3,7102318,7103216"	Ralgds	-0.633573931	6.59E-19	DG_Meth	DG	Meth	-0.016104822	0.950572869
"chr4,170429036,170430091"	Atf7ip	-0.586015101	5.52E-18	DG_Meth	DG	Meth	0.385128788	0.000129726
"chr4,170429036,170430091"	Grin2b	-0.586015101	5.52E-18	DG_Meth	DG	Meth	-0.445322773	1.08E-05
"chr6,102938088,102938706"	Rad51b	-0.721035189	2.34E-06	DG_Meth	DG	Meth	0	1
"chr6,103173470,103174322"	Rad51l1	-0.731048407	1.35E-17	DG_Meth	DG	Meth	0	1
"chr6,103173470,103174322"	Zfp36l1	-0.731048407	1.35E-17	DG_Meth	DG	Meth	0.341654834	0.00492736
"chr6,50574713,50575419"	Lamb1	-0.683893612	1.18E-08	DG_Meth	DG	Meth	-0.042847358	0.857989158
"chr6,92088684,92089253"	Cdkl1	-0.725120157	2.27E-07	DG_Meth	DG	Meth	-0.094392438	0.722066073
"chr6,94270163,94270901"	4930404H11Rik	-0.842536832	3.42E-12	DG_Meth	DG	Meth	0	1
"chr6,94270163,94270901"	Dact1	-0.842536832	3.42E-12	DG_Meth	DG	Meth	0.053645567	0.927748722
"chr7,120402316,120403037"	Sox10	-0.610559892	3.12E-12	DG_Meth	DG	Meth	0.197964808	0.248754304
"chr7,120403643,120404384"	Mir4534	-0.654755967	4.67E-09	DG_Meth	DG	Meth	0	1
"chr7,120403643,120404384"	Sox10	-0.654755967	4.67E-09	DG_Meth	DG	Meth	0.197964808	0.248754304
"chr7,120445255,120445642"	Mir4534	-0.767180795	1.23E-08	DG_Meth	DG	Meth	0	1
"chr7,120445255,120445642"	Pick1	-0.767180795	1.23E-08	DG_Meth	DG	Meth	0.254431899	0.055060108
"chr9,49049860,49050844"	LOC100287010	-0.833017152	2.28E-17	DG_Meth	DG	Meth	0	1
"chr9,49049860,49050844"	Linc01102	-0.833017152	2.28E-17	DG_Meth	DG	Meth	0	1
"chr9,99896219,99897021"	Gpc1	-0.745108575	6.72E-11	DG_Meth	DG	Meth	-0.994269793	4.71E-19
"chr9,99896219,99897021"	Otos	-0.745108575	6.72E-11	DG_Meth	DG	Meth	0	1
"chr9,99957737,99958356"	Gpc1	-0.746484884	8.10E-07	DG_Meth	DG	Meth	-0.994269793	4.71E-19
"chr9,99957737,99958356"	Otos	-0.746484884	8.10E-07	DG_Meth	DG	Meth	0	1
"chr1,185927086,185928103"	C11orf58	-1.066993776	1.65E-05	NAc_Meth	NAc	Meth	0	1
"chr1,185927086,185928103"	Mir6073	-1.066993776	1.65E-05	NAc_Meth	NAc	Meth	0	1
"chr1,187280474,187281169"	Rps15a	-0.734741023	0.000745943	NAc_Meth	NAc	Meth	-0.06014609	0.716827179
"chr1,187280474,187281169"	Xylt1	-0.734741023	0.000745943	NAc_Meth	NAc	Meth	-0.025575159	0.898566001
"chr10,39394411,39395171"	Pdlim4	-0.741356093	9.01E-06	NAc_Meth	NAc	Meth	-0.177496502	0.261325171
"chr17,17752891,17753615"	Mir548a1	-0.779586979	0.000375409	NAc_Meth	NAc	Meth	0	1
"chr17,17752891,17753615"	Rnf144b	-0.779586979	0.000375409	NAc_Meth	NAc	Meth	0.053471629	0.805639366
"chr17,40836017,40837115"	Hdgfl1	-0.924620998	1.77E-05	NAc_Meth	NAc	Meth	0	1
"chr17,40836017,40837115"	Nrsn1	-0.924620998	1.77E-05	NAc_Meth	NAc	Meth	0.172555685	0.11544091
"chr18,17596761,17597459"	KIAA1328	-0.846520339	0.000113904	NAc_Meth	NAc	Meth	0	1
"chr18,18002090,18002597"	Celf4	-0.784886358	2.91E-05	NAc_Meth	NAc	Meth	-0.008957765	0.97777779
"chr18,26315521,26316436"	2410004N09Rik	-1.121308108	3.62E-08	NAc_Meth	NAc	Meth	0	1
"chr18,26315521,26316436"	As1	-1.121308108	3.62E-08	NAc_Meth	NAc	Meth	0	1
"chr18,26315521,26316436"	Gm10549	-1.121308108	3.62E-08	NAc_Meth	NAc	Meth	0	1
"chr18,26315521,26316436"	Nrep	-1.121308108	3.62E-08	NAc_Meth	NAc	Meth	0.588786222	0.002671101
"chr2,120374953,120375663"	LOC101928882	-0.972589379	1.13E-05	NAc_Meth	NAc	Meth	0	1
"chr2,121900060,121900723"	Gm3143	-0.772660156	4.40E-05	NAc_Meth	NAc	Meth	0	1
"chr2,121900060,121900723"	Gm6639	-0.772660156	4.40E-05	NAc_Meth	NAc	Meth	0	1
"chr2,3843818,3844467"	Mctp1	-0.801220171	7.80E-05	NAc_Meth	NAc	Meth	0.587941771	2.79E-06
"chr2,94628776,94629725"	C030034L19Rik	-0.603412329	0.000348579	NAc_Meth	NAc	Meth	0	1
"chr2,94628776,94629725"	Zbtb10	-0.603412329	0.000348579	NAc_Meth	NAc	Meth	0.228029919	0.327763568
"chr2,98095162,98096391"	Pex2	-0.768854041	1.24E-09	NAc_Meth	NAc	Meth	-0.020972885	0.950698905
"chr2,98095162,98096391"	Pkia	-0.768854041	1.24E-09	NAc_Meth	NAc	Meth	0.312118525	0.002093269
"chr2,98602592,98603209"	Zfhx4	-0.967821413	4.02E-05	NAc_Meth	NAc	Meth	-0.190774443	0.319778779
"chr3,34923039,34923954"	Pabpc1p2	-0.640361401	1.91E-05	NAc_Meth	NAc	Meth	0	1
"chr3,34923039,34923954"	Tex41	-0.640361401	1.91E-05	NAc_Meth	NAc	Meth	0	1
"chr3,59099329,59100202"	As1	-1.045176708	7.66E-08	NAc_Meth	NAc	Meth	0	1
"chr3,59099329,59100202"	Mlk7	-1.045176708	7.66E-08	NAc_Meth	NAc	Meth	0	1
"chr4,120979436,120980574"	4933427D06Rik	-0.599163784	0.000624309	NAc_Meth	NAc	Meth	0	1
"chr4,120979436,120980574"	Tpra1	-0.599163784	0.000624309	NAc_Meth	NAc	Meth	0.025365677	0.92634174
"chr4,7361882,7362373"	Kcnh2	-0.796138928	7.02E-06	NAc_Meth	NAc	Meth	-0.139434947	0.368858984
"chr5,20671295,20671998"	Ca8	-0.794746344	0.000411499	NAc_Meth	NAc	Meth	0	1
"chr5,20671295,20671998"	Tox	-0.794746344	0.000411499	NAc_Meth	NAc	Meth	-0.22623415	0.114524625
"chr5,38551353,38552180"	LOC101927314	-0.773823305	0.000244025	NAc_Meth	NAc	Meth	0	1
"chr5,89297324,89298130"	Rasef	-1.251407323	1.23E-12	NAc_Meth	NAc	Meth	0	1
"chr5,89297324,89298130"	Spata31d1	-1.251407323	1.23E-12	NAc_Meth	NAc	Meth	0	1
"chr6,145889884,145890743"	Dnah11	-1.29624912	8.60E-11	NAc_Meth	NAc	Meth	-0.08069221	0.90894031
"chr6,59079609,59080554"	Arl4a	-0.998432498	0.000867704	NAc_Meth	NAc	Meth	0.235075598	0.115479488
"chr6,59079609,59080554"	Etv1	-0.998432498	0.000867704	NAc_Meth	NAc	Meth	0.323770232	0.000958416
"chr6,94270163,94270901"	4930404H11Rik	-0.744996594	1.71E-09	NAc_Meth	NAc	Meth	0	1
"chr6,94270163,94270901"	Dact1	-0.744996594	1.71E-09	NAc_Meth	NAc	Meth	0.227092901	0.565522714
"chr7,108025347,108026760"	St3gal1	-0.628753507	4.11E-08	NAc_Meth	NAc	Meth	-0.146963687	0.510944033
"chr7,108025347,108026760"	Zfat	-0.628753507	4.11E-08	NAc_Meth	NAc	Meth	-0.314305717	0.056524172
"chr1,124832024,124832829"	Klf13	-0.615698597	0.000108411	SVZ_Meth	SVZ	Meth	0.028408191	0.882580635
"chr1,124832024,124832829"	LOC283710	-0.615698597	0.000108411	SVZ_Meth	SVZ	Meth	0	1
"chr1,218157713,218158376"	Ccnd1	-0.895163637	0.000588524	SVZ_Meth	SVZ	Meth	-0.49720451	3.95E-07
"chr1,218157713,218158376"	Myeov	-0.895163637	0.000588524	SVZ_Meth	SVZ	Meth	0	1
"chr1,231126760,231127385"	Tle1	-1.219930926	9.12E-08	SVZ_Meth	SVZ	Meth	0.159228995	0.241332852
"chr1,231126760,231127385"	Tle4	-1.219930926	9.12E-08	SVZ_Meth	SVZ	Meth	0.365514326	4.62E-05
"chr1,233033066,233033875"	LOC101927450	-1.094926127	4.43E-10	SVZ_Meth	SVZ	Meth	0	1
"chr1,233033066,233033875"	Psat1	-1.094926127	4.43E-10	SVZ_Meth	SVZ	Meth	-0.163114095	0.407253025
"chr1,233062809,233063894"	LOC101927450	-0.895863752	6.24E-05	SVZ_Meth	SVZ	Meth	0	1
"chr1,233062809,233063894"	Psat1	-0.895863752	6.24E-05	SVZ_Meth	SVZ	Meth	-0.163114095	0.407253025
"chr1,32843899,32844679"	LOC100506858	-1.058018663	3.58E-08	SVZ_Meth	SVZ	Meth	0	1
"chr1,32843899,32844679"	Mir548ba	-1.058018663	3.58E-08	SVZ_Meth	SVZ	Meth	0	1
"chr1,56489987,56490661"	4930474M22Rik	-0.739407955	0.000615131	SVZ_Meth	SVZ	Meth	0	1
"chr1,56489987,56490661"	Thbs2	-0.739407955	0.000615131	SVZ_Meth	SVZ	Meth	-0.423203566	0.352405346
"chr10,102859796,102860469"	1700092K14Rik	-0.77681332	0.000415937	SVZ_Meth	SVZ	Meth	0	1
"chr10,102859796,102860469"	4932435O22Rik	-0.77681332	0.000415937	SVZ_Meth	SVZ	Meth	0	1
"chr10,39396615,39397019"	Pdlim4	-1.131208193	7.35E-06	SVZ_Meth	SVZ	Meth	-0.074612804	0.674867901
"chr10,49379466,49380700"	Cdrt4	-0.698588676	0.000221714	SVZ_Meth	SVZ	Meth	0	1
"chr11,61014850,61015373"	BC027231	-1.272565291	0.000128657	SVZ_Meth	SVZ	Meth	0	1
"chr11,61014850,61015373"	Mir3081	-1.272565291	0.000128657	SVZ_Meth	SVZ	Meth	0	1
"chr13,49109390,49110182"	Nuak2	-0.738291787	0.000216045	SVZ_Meth	SVZ	Meth	-0.316171185	0.09503029
"chr13,49109390,49110182"	Tmcc2	-0.738291787	0.000216045	SVZ_Meth	SVZ	Meth	-0.229626295	0.045551075
"chr13,54328229,54329134"	1	-0.704646519	9.34E-05	SVZ_Meth	SVZ	Meth	0	1
"chr13,54328229,54329134"	Mir181a	-0.704646519	9.34E-05	SVZ_Meth	SVZ	Meth	0	1
"chr13,54328229,54329134"	Nr5a2	-0.704646519	9.34E-05	SVZ_Meth	SVZ	Meth	0	1
"chr13,83364932,83366201"	4930568G15Rik	-0.774314357	1.94E-05	SVZ_Meth	SVZ	Meth	0	1
"chr13,83364932,83366201"	Tbx19	-0.774314357	1.94E-05	SVZ_Meth	SVZ	Meth	0.419499235	0.27101594
"chr14,109126467,109127017"	LOC101927285	-1.367529499	5.42E-06	SVZ_Meth	SVZ	Meth	0	1
"chr14,109126467,109127017"	Mir4432	-1.367529499	5.42E-06	SVZ_Meth	SVZ	Meth	0	1
"chr14,3540279,3540908"	Tgfbr3	-0.808862227	6.15E-06	SVZ_Meth	SVZ	Meth	0.141808335	0.337822415
"chr15,12826540,12826972"	Cadps	-1.372177294	2.48E-07	SVZ_Meth	SVZ	Meth	-0.365289055	0.003684261
"chr15,12826540,12826972"	Fezf2	-1.372177294	2.48E-07	SVZ_Meth	SVZ	Meth	1.281599585	0.092546844
"chr15,3220354,3221037"	Adk	-0.909494615	6.05E-05	SVZ_Meth	SVZ	Meth	-0.049103466	0.72933106
"chr15,33666059,33666722"	Mir208b	-1.052395072	1.19E-05	SVZ_Meth	SVZ	Meth	0	1
"chr15,33666059,33666722"	Ngdn	-1.052395072	1.19E-05	SVZ_Meth	SVZ	Meth	0.126965317	0.366390479
"chr15,58321422,58322248"	Nufip1	-0.605773438	5.14E-05	SVZ_Meth	SVZ	Meth	0.113296068	0.478711234
"chr15,58321422,58322248"	Tsc22d1	-0.605773438	5.14E-05	SVZ_Meth	SVZ	Meth	0.168788591	0.131966141
"chr16,71293313,71293973"	Fgfr1	-0.827068363	2.03E-05	SVZ_Meth	SVZ	Meth	-0.133148585	0.400202047
"chr17,31292443,31293147"	Slc22a23	-1.096625725	2.60E-07	SVZ_Meth	SVZ	Meth	-0.094780951	0.581057312
"chr17,40836017,40837115"	Hdgfl1	-1.346651087	4.98E-12	SVZ_Meth	SVZ	Meth	0	1
"chr17,40836017,40837115"	Nrsn1	-1.346651087	4.98E-12	SVZ_Meth	SVZ	Meth	-0.234600416	0.115301506
"chr17,70149238,70149721"	Asb13	-1.063794428	0.000345687	SVZ_Meth	SVZ	Meth	0.139891985	0.293479325
"chr17,70149238,70149721"	Calml3	-1.063794428	0.000345687	SVZ_Meth	SVZ	Meth	0	1
"chr18,26315521,26316436"	2410004N09Rik	-0.949826049	4.72E-08	SVZ_Meth	SVZ	Meth	0	1
"chr18,26315521,26316436"	As1	-0.949826049	4.72E-08	SVZ_Meth	SVZ	Meth	0	1
"chr18,26315521,26316436"	Gm10549	-0.949826049	4.72E-08	SVZ_Meth	SVZ	Meth	0	1
"chr18,26315521,26316436"	Nrep	-0.949826049	4.72E-08	SVZ_Meth	SVZ	Meth	-0.170396271	0.318693128
"chr18,5856578,5857541"	Ss18	-1.128896381	2.68E-05	SVZ_Meth	SVZ	Meth	-0.299071682	0.001757581
"chr18,5856578,5857541"	Znf521	-1.128896381	2.68E-05	SVZ_Meth	SVZ	Meth	0	1
"chr18,63838976,63839705"	D18Ertd653e	-0.786050212	6.93E-05	SVZ_Meth	SVZ	Meth	0	1
"chr18,75311615,75312350"	Setbp1	-1.085336618	3.48E-07	SVZ_Meth	SVZ	Meth	0.232120591	0.070345065
"chr19,34383296,34384004"	Mir4799	-0.89946704	0.000593907	SVZ_Meth	SVZ	Meth	0	1
"chr19,34383296,34384004"	Nr3c2	-0.89946704	0.000593907	SVZ_Meth	SVZ	Meth	0.327386218	0.001627882
"chr19,40120802,40121778"	Psmd7	-1.692487622	0.000249567	SVZ_Meth	SVZ	Meth	0.043276321	0.787152064
"chr19,40120802,40121778"	Zfhx3	-1.692487622	0.000249567	SVZ_Meth	SVZ	Meth	-0.328498865	0.00285749
"chr19,54490524,54490900"	Jph3	-0.953172009	8.76E-05	SVZ_Meth	SVZ	Meth	0.479596816	1.19E-06
"chr19,54490524,54490900"	Zcchc14	-0.953172009	8.76E-05	SVZ_Meth	SVZ	Meth	0.4261606	1.06E-06
"chr2,121900060,121900723"	Gm3143	-1.377994652	1.29E-09	SVZ_Meth	SVZ	Meth	0	1
"chr2,121900060,121900723"	Gm6639	-1.377994652	1.29E-09	SVZ_Meth	SVZ	Meth	0	1
"chr2,121901061,121901517"	Gm3143	-1.399433379	1.41E-05	SVZ_Meth	SVZ	Meth	0	1
"chr2,121901061,121901517"	Gm6639	-1.399433379	1.41E-05	SVZ_Meth	SVZ	Meth	0	1
"chr2,12463807,12465272"	2810049E08Rik	-0.656812179	0.000164511	SVZ_Meth	SVZ	Meth	0	1
"chr2,12463807,12465272"	As1	-0.656812179	0.000164511	SVZ_Meth	SVZ	Meth	0	1
"chr2,12463807,12465272"	Tmem161b	-0.656812179	0.000164511	SVZ_Meth	SVZ	Meth	0.060364428	0.746385762
"chr2,12851534,12852553"	Ccnh	-0.641327742	0.000295211	SVZ_Meth	SVZ	Meth	0.236322601	0.051938258
"chr2,12851534,12852553"	Tmem161b	-0.641327742	0.000295211	SVZ_Meth	SVZ	Meth	0.060364428	0.746385762
"chr2,13057980,13058673"	Ccnh	-1.45213247	4.07E-06	SVZ_Meth	SVZ	Meth	0.236322601	0.051938258
"chr2,13057980,13058673"	Tmem161b	-1.45213247	4.07E-06	SVZ_Meth	SVZ	Meth	0.060364428	0.746385762
"chr2,13088354,13089248"	Ccnh	-0.712512428	4.85E-05	SVZ_Meth	SVZ	Meth	0.236322601	0.051938258
"chr2,13088354,13089248"	Tmem161b	-0.712512428	4.85E-05	SVZ_Meth	SVZ	Meth	0.060364428	0.746385762
"chr2,174977598,174978295"	Fstl5	-0.901212558	1.93E-06	SVZ_Meth	SVZ	Meth	0.104150529	0.557545813
"chr2,180695952,180696686"	Ctso	-0.673045044	0.000318918	SVZ_Meth	SVZ	Meth	0	1
"chr2,180695952,180696686"	Pdgfc	-0.673045044	0.000318918	SVZ_Meth	SVZ	Meth	0.390194145	0.017882694
"chr2,222615091,222615982"	As1	-0.734481434	4.86E-05	SVZ_Meth	SVZ	Meth	0	1
"chr2,222615091,222615982"	Dpyd	-0.734481434	4.86E-05	SVZ_Meth	SVZ	Meth	0.156660598	0.573017098
"chr2,244059750,244060276"	Tspan5	-0.999836665	5.38E-05	SVZ_Meth	SVZ	Meth	-0.017472669	0.933017547
"chr2,249968133,249968787"	LOC100505768	-1.642260834	1.58E-08	SVZ_Meth	SVZ	Meth	0	1
"chr2,249968133,249968787"	LOC101927891	-1.642260834	1.58E-08	SVZ_Meth	SVZ	Meth	0	1
"chr2,3843818,3844467"	Mctp1	-0.936776506	0.000229753	SVZ_Meth	SVZ	Meth	0.97542083	2.66E-14
"chr2,5872661,5873398"	Arrdc3	-0.708988985	7.57E-05	SVZ_Meth	SVZ	Meth	-0.255225212	0.023981171
"chr2,5872661,5873398"	As1	-0.708988985	7.57E-05	SVZ_Meth	SVZ	Meth	0	1
"chr2,5872661,5873398"	Nr2f1	-0.708988985	7.57E-05	SVZ_Meth	SVZ	Meth	-1.028397924	4.73E-10
"chr2,6006500,6007366"	Arrdc3	-1.128892701	2.09E-07	SVZ_Meth	SVZ	Meth	-0.255225212	0.023981171
"chr2,6006500,6007366"	As1	-1.128892701	2.09E-07	SVZ_Meth	SVZ	Meth	0	1
"chr2,6006500,6007366"	Nr2f1	-1.128892701	2.09E-07	SVZ_Meth	SVZ	Meth	-1.028397924	4.73E-10
"chr2,6434017,6434998"	Arrdc3	-0.763541836	0.000106376	SVZ_Meth	SVZ	Meth	-0.255225212	0.023981171
"chr2,6434017,6434998"	As1	-0.763541836	0.000106376	SVZ_Meth	SVZ	Meth	0	1
"chr2,6434017,6434998"	Nr2f1	-0.763541836	0.000106376	SVZ_Meth	SVZ	Meth	-1.028397924	4.73E-10
"chr2,92204456,92205151"	AW209491	-0.924943568	2.97E-06	SVZ_Meth	SVZ	Meth	0	1
"chr2,92204456,92205151"	Gli3	-0.924943568	2.97E-06	SVZ_Meth	SVZ	Meth	0.340959192	0.001627882
"chr2,97103475,97104212"	Pex2	-1.251796191	2.97E-06	SVZ_Meth	SVZ	Meth	-0.036713738	0.848184501
"chr2,97103475,97104212"	Pkia	-1.251796191	2.97E-06	SVZ_Meth	SVZ	Meth	0.329922955	0.000261835
"chr2,97687714,97688429"	Pex2	-0.791457723	0.000888886	SVZ_Meth	SVZ	Meth	-0.036713738	0.848184501
